col1,name,RA_1,Dec_1,Source_Name,RA_2,E_RA,E_RA_tot,DEC_2,E_DEC,E_DEC_tot,Peak_flux,E_Peak_flux,E_Peak_flux_tot,Total_flux,E_Total_flux,E_Total_flux_tot,Maj,E_Maj,Min,E_Min,DC_Maj,E_DC_Maj,DC_Min,E_DC_Min,PA,E_PA,DC_PA,E_DC_PA,Isl_rms,S_Code,Mosaic_ID,Isl_id,Separation
1860,124202.89+532804.3,190.512058,53.46786899999999,ILTJ124202.96+532804.3,190.51235025867317,0.38552503637947383,0.39360933103378504,53.46787911873407,0.31251866974193643,0.32243863096524067,0.5477599837256766,0.0679400665247165,0.12890885396367868,0.6165862554081447,0.11400961538143801,0.16794444561745095,7.116349782114409,0.9804083779651948,5.696288736814151,0.6360827546810585,3.8265064813859686,0.9804083779651948,0.0,0.6360827546810585,61.06927085195174,25.949844206148267,61.06927085195036,25.949844206148267,0.0667480708216317,S,P29Hetdex19,2195,0.6273642093713483
1861,125805.31+512207.0,194.522129,51.368639,ILTJ125805.30+512207.3,194.52209695298623,0.1812719193656205,0.25596880146443884,51.36870594571301,0.23504066625602105,0.2964871554835379,0.8723866972315524,0.0647800504946739,0.18611500993298621,1.0366373525078427,0.1063786592636981,0.23302596244049884,7.0108197695875045,0.5546995145224932,6.102438044859014,0.425283847656283,3.6257734886751543,0.5546995145224932,1.1119856183328993,0.425283847656283,174.72636700507095,23.893174754865854,174.72636700507144,23.893174754865854,0.06261617818381637,S,P33Hetdex08,2283,0.25153711125479594
1863,124842.93+531449.5,192.178906,53.247102000000005,ILTJ124842.89+531449.2,192.17871192885346,0.030113123258889412,0.18321386073398035,53.2470174596538,0.04115757187858496,0.1853495732274185,5.430682508579131,0.06542924529640004,1.088105457434871,7.111872781949915,0.1459746244360299,1.4298454355785597,7.05410703625032,0.0976547097927688,5.928981539042219,0.06989388559730275,0.0,0.0976547097927688,0.0,0.06989388559730275,78.61825875589376,3.255258628880781,0.0,3.255258628880781,0.06542924529640004,M,P33Hetdex08,5221,0.5171009567948012
1867,130422.56+512416.3,196.09403600000002,51.404529,ILTJ130422.54+512416.7,196.09392453156377,0.35915006481938627,0.3806596462359485,51.4046566614569,0.7729847192448059,0.7832102995994623,0.35646004738857906,0.061846350451429694,0.09437966772314776,0.49710943827779486,0.09835713199637798,0.13985291258871768,8.796150076674358,1.828908692535759,5.709241415252591,0.8265810265069748,0.0,1.828908692535759,0.0,0.8265810265069748,172.37220838844476,18.766591701769286,0.0,18.766591701769286,0.06009950448060408,S,P37Hetdex15,7302,0.5233351206221397
2206,105245.64+463831.2,163.19020600000002,46.642011,ILTJ105245.70+463830.7,163.19042681299786,0.3629320414546242,0.375566983969381,46.6418775203845,0.24460770934525586,0.26299015990064983,0.6697055958678021,0.06844913492813592,0.15041777646899343,0.8445071303003794,0.11094818401062632,0.20208213988470897,7.662644749851579,0.8775179064734648,5.925363779259354,0.5405125652456021,4.765361478719951,0.8775179064734648,0.0,0.5405125652456021,106.08194995585681,17.74426446574812,106.08194995585751,17.74426446574812,0.06604710506508127,S,P3Hetdex16,5113,0.7271596992272591
2208,110429.51+481637.7,166.12299299999998,48.277147,ILTJ110429.52+481638.0,166.12300631423687,0.435098397948514,0.4777438454340821,48.277241431942365,0.2592784967187558,0.3258126836289811,0.4516706450346144,0.05582540847237416,0.10619195400098264,0.5125730205038226,0.09372861795846564,0.13890391599354027,7.313965021617646,1.0259866508956936,5.587618562607625,0.608496408285252,0.0,1.0259866508956936,0.0,0.608496408285252,93.27600721965582,21.126713347495482,0.0,21.126713347495482,0.054989031923469156,S,P6,2649,0.34144835519582545
2212,111623.56+482256.7,169.09819,48.382425,ILTJ111623.53+482256.8,169.0980230812352,0.14352190021000444,0.178968822172196,48.382450256436364,0.15583364455124996,0.1889852593297635,1.0602479799439106,0.06016873648192,0.22042075221910584,1.1160126335625151,0.10262395017969246,0.24566449291936682,6.471390215982495,0.385580695497392,5.856485917730378,0.31655289234783307,2.424136880447123,0.385580695497392,0.0,0.31655289234783307,33.127955682241065,24.760859702447913,33.12795568223752,24.760859702447913,0.05954314838163555,S,P7Hetdex11,1894,0.4093221666518959
2219,113744.83+481903.8,174.43683000000001,48.317723,ILTJ113744.88+481904.0,174.43697972051987,0.46208980462955385,0.4854420576785708,48.31779646412467,0.31245354882411214,0.34605523257625714,0.49203173108477244,0.06716326981125663,0.11914157035858966,0.5796479152663778,0.11103065573783233,0.1605225054018263,7.274324161861876,1.0994260353974346,5.832006675260461,0.718988764883357,0.0,1.0994260353974346,0.0,0.718988764883357,79.04130623680649,27.75649619748233,0.0,27.75649619748233,0.06538481829920784,S,P14Hetdex04,2675,0.4454403762676768
2220,113653.01+482812.8,174.220914,48.470234000000005,ILTJ113653.09+482813.2,174.22118852047475,0.2014577274405369,0.25042407984483284,48.4703522539502,0.20863660261093875,0.2562347278759465,1.0841284283189478,0.07273727600659184,0.2287008729419973,1.5179502122052706,0.1135381271498818,0.3241262411253736,7.5686803420190545,0.5356160220500347,6.661516237771604,0.42373300672611103,4.612852398082529,0.5356160220500347,2.891957450842236,0.42373300672611103,40.31047969764191,22.51763147510291,40.310479697639614,22.51763147510291,0.06849928468000144,S,P14Hetdex04,2983,0.7813857793718479
2221,113824.19+501221.5,174.600827,50.205999,ILTJ113824.15+501221.4,174.60061655372957,0.6504275292979363,0.6672203344392641,50.20595968854533,0.5353178958300439,0.5556008040099756,0.5343543476273878,0.10152685627569755,0.14740788750388426,0.7069234503830651,0.16236928892726352,0.2152984360714334,7.959010353371501,1.7099913795990005,5.98412303434887,1.0054693708606002,5.229234971219923,1.7099913795990005,0.0,1.0054693708606002,56.59433052730918,31.259268361042867,56.59433052730818,31.259268361042867,0.09750507160788402,S,P14Hetdex04,2417,0.5051209021980294
